anum,symb,name,gnum,pnum,awei
1,H,Hydrogen,1,1,1.008(1)
2,He,Helium,18,1,4.002602(2)
3,Li,Lithium,1,2,6.94(1)
4,Be,Beryllium,2,2,9.012182(3)
5,B,Boron,13,2,10.81(1)
6,C,Carbon,14,2,12.011(1)
7,N,Nitrogen,15,2,14.007(1)
8,O,Oxygen,16,2,15.999(1)
9,F,Fluorine,17,2,18.9984032(5)
10,Ne,Neon,18,2,20.1797(6)
11,Na,Sodium,1,3,22.98976928(2)
12,Mg,Magnesium,2,3,24.3050(6)
13,Al,Aluminium,13,3,26.9815386(8)
14,Si,Silicon,14,3,28.085(1)
15,P,Phosphorus,15,3,30.973762(2)
16,S,Sulfur,16,3,32.06(1)
17,Cl,Chlorine,17,3,35.45(1)
18,Ar,Argon,18,3,39.948(1)
19,K,Potassium,1,4,39.0983(1)
20,Ca,Calcium,2,4,40.078(4)
21,Sc,Scandium,3,4,44.955912(6)
22,Ti,Titanium,4,4,47.867(1)
23,V,Vanadium,5,4,50.9415(1)
24,Cr,Chromium,6,4,51.9961(6)
25,Mn,Manganese,7,4,54.938045(5)
26,Fe,Iron,8,4,55.845(2)
27,Co,Cobalt,9,4,58.933195(5)
28,Ni,Nickel,10,4,58.6934(4)
29,Cu,Copper,11,4,63.546(3)
30,Zn,Zinc,12,4,65.38(2)
31,Ga,Gallium,13,4,69.723(1)
32,Ge,Germanium,14,4,72.63(1)
33,As,Arsenic,15,4,74.92160(2)
34,Se,Selenium,16,4,78.96(3)
35,Br,Bromine,17,4,79.904(1)
36,Kr,Krypton,18,4,83.798(2)
37,Rb,Rubidium,1,5,85.4678(3)
38,Sr,Strontium,2,5,87.62(1)
39,Y,Yttrium,3,5,88.90585(2)
40,Zr,Zirconium,4,5,91.224(2)
41,Nb,Niobium,5,5,92.90638(2)
42,Mo,Molybdenum,6,5,95.96(2)
43,Tc,Technetium,7,5,[98]
44,Ru,Ruthenium,8,5,101.07(2)
45,Rh,Rhodium,9,5,102.90550(2)
46,Pd,Palladium,10,5,106.42(1)
47,Ag,Silver,11,5,107.8682(2)
48,Cd,Cadmium,12,5,112.411(8)
49,In,Indium,13,5,114.818(3)
50,Sn,Tin,14,5,118.710(7)
51,Sb,Antimony,15,5,121.760(1)
52,Te,Tellurium,16,5,127.60(3)
53,I,Iodine,17,5,126.90447(3)
54,Xe,Xenon,18,5,131.293(6)
55,Cs,Caesium,1,6,132.9054519(2)
56,Ba,Barium,2,6,137.327(7)
57,La,Lanthanum,,6,138.90547(7)
58,Ce,Cerium,,6,140.116(1)
59,Pr,Praseodymium,,6,140.90765(2)
60,Nd,Neodymium,,6,144.242(3)
61,Pm,Promethium,,6,[145]
62,Sm,Samarium,,6,150.36(2)
63,Eu,Europium,,6,151.964(1)
64,Gd,Gadolinium,,6,157.25(3)
65,Tb,Terbium,,6,158.92535(2)
66,Dy,Dysprosium,,6,162.500(1)
67,Ho,Holmium,,6,164.93032(2)
68,Er,Erbium,,6,167.259(3)
69,Tm,Thulium,,6,168.93421(2)
70,Yb,Ytterbium,,6,173.054(5)
71,Lu,Lutetium,3,6,174.9668(1)
72,Hf,Hafnium,4,6,178.49(2)
73,Ta,Tantalum,5,6,180.94788(2)
74,W,Tungsten,6,6,183.84(1)
75,Re,Rhenium,7,6,186.207(1)
76,Os,Osmium,8,6,190.23(3)
77,Ir,Iridium,9,6,192.217(3)
78,Pt,Platinum,10,6,195.084(9)
79,Au,Gold,11,6,196.966569(4)
80,Hg,Mercury,12,6,200.59(2)
81,Tl,Thallium,13,6,204.38(1)
82,Pb,Lead,14,6,207.2(1)
83,Bi,Bismuth,15,6,208.98040(1)
84,Po,Polonium,16,6,[209]
85,At,Astatine,17,6,[210]
86,Rn,Radon,18,6,[222]
87,Fr,Francium,1,7,[223]
88,Ra,Radium,2,7,[226]
89,Ac,Actinium,,7,[227]
90,Th,Thorium,,7,232.03806(2)
91,Pa,Protactinium,,7,231.03588(2)
92,U,Uranium,,7,238.02891(3)
93,Np,Neptunium,,7,[237]
94,Pu,Plutonium,,7,[244]
95,Am,Americium,,7,[243]
96,Cm,Curium,,7,[247]
97,Bk,Berkelium,,7,[247]
98,Cf,Californium,,7,[251]
99,Es,Einsteinium,,7,[252]
100,Fm,Fermium,,7,[257]
101,Md,Mendelevium,,7,[258]
102,No,Nobelium,,7,[259]
103,Lr,Lawrencium,3,7,[262]
104,Rf,Rutherfordium,4,7,[267]
105,Db,Dubnium,5,7,[268]
106,Sg,Seaborgium,6,7,[269]
107,Bh,Bohrium,7,7,[270]
108,Hs,Hassium,8,7,[269]
109,Mt,Meitnerium,9,7,[278]
110,Ds,Darmstadtium,10,7,[281]
111,Rg,Roentgenium,11,7,[281]
112,Cn,Copernicium,12,7,[285]
113,Uut,Ununtrium,13,7,[286]
114,Fl,Flerovium,14,7,[289]
115,Uup,Ununpentium,15,7,[288]
116,Lv,Livermorium,16,7,[293]
117,Uus,Ununseptium,17,7,[294]
118,Uuo,Ununoctium,18,7,[294]
